QCT,GPR
30.077000,30.166429
24.818000,25.253997
29.303000,29.352063
29.146000,29.241053
28.860000,29.132328
28.810000,29.145920
28.023000,27.696307
31.727000,31.948707
30.710000,30.324329
33.257000,31.907747
30.731000,30.663087
39.282000,40.077395
